QuestionNo,Content
#1 WFD,The artists and conservative politicians follow their own rules in politics.
#2 WFD,Please confirm that you have received the textbook.
#3 WFD,The change of policy will have a great effect on society.
#4 WFD,You will acquire many skills during your academic studies.
#5 WFD,Graduates from this course typically pursue careers in the financial sector.
#7 WFD,The results of the study underscore the discoveries from early detection.
#15 WFD,Blue whales are the largest animals that have ever lived.
#18 WFD,A regional assembly was created following the devolution of power.
#20 WFD,A celebrated theory is still the source of great controversy.
#22 WFD,"A good architectural structure should be usable, durable and beautiful."
#25 WFD,A good scientific paper should have clear arguments.
#26 WFD,A massive accumulation of data was converted into a communicable argument.
#27 WFD,Today a number of students have volunteer jobs.
#29 WFD,The educational level is found to be related to social and economic background.
#31 WFD,A very basic feature of computing would be counting and calculating.
#32 WFD,Organization plays an important role in academic literature.
#35 WFD,Students who study environmental biology need to do fieldwork.
#37 WFD,Affordable housing is an important issue for all members of society.
#38 WFD,Agenda items should be submitted by the end of the day.
#39 WFD,All answers must be thoroughly researched and supported by relevant theories.
#40 WFD,All dissertations must be accompanied with a submission form.
#41 WFD,you must change your password every month 
#42 WFD,All lectures and learning materials can be found on the internet.
#43 WFD,All of the assignments must be submitted in person to the faculty office.
#47 WFD,Two drops of the solution were heated in a test tube.
#48 WFD,Technology has changed the media we both used and studied.
#49 WFD,Our view is that all the educational reforms have been inadequately implemented.
#51 WFD,"Although sustainable development is not , it is an unavoidable responsibility."
#56 WFD,An architect  requires  problem-solving skills and an eye for design.
#57 WFD,Research shows that knowledge and experience are essential to creativity.
#58 WFD,Animal behavior appears to contain both similar and distinct aspects to that of humans.
#67 WFD,"Before attending the lecture, you must register online or by post."
#68 WFD,"Before completing the exercise, you need to read the remaining chapters."
#69 WFD,"Before submitting your dissertation, your advisor must approve your application."
#75 WFD,The horizontal line in the graph indicates there was no change in the period.
#76 WFD,Building trust is not something that can be achieved overnight.
#79 WFD,Use the camera to see the fish.
#81 WFD,Certain scientific principles must be learned verbally or by a logical deduction.
#83 WFD,Please click the logo above to enter the site.
#84 WFD,Climate change is a fierce phenomenon acknowledged by scientists.
